SKU-ID;Description;2020_units_sold;2021_start_stock;Raw_Material_Cost;Factory_Labor_Costs;Factory_Equipment_Rent_Costs;Distribution_Costs;Advertisement_Costs;Retail_Price;Category;;;;;;;;;;;;;;;
17084N;FAIRY DREAMS INCENSE ;1115;1487;0,21;0,18;0,03;0,273;0,5166;1,30;Home accessories;;;;;;;;;;;;;;;
84849B;FAIRY SOAP SOAP HOLDER;429;493;1,01;0,68;0,01;1,707;2,6871;3,09;Home accessories;;;;;;;;;;;;;;;
15030;FAN BLACK FRAME ;354;268;0,01;0,13;0,15;0,191;0,3596;1,11;Office & school;;;;;;;;;;;;;;;
22260;FELT EGG COSY BLUE RABBIT ;569;662;0,40;0,30;0,15;0,672;1,1645;1,90;Toys & edibles;;;;;;;;;;;;;;;
90060D;FIRE POLISHED GLASS NECKL BRONZE;265;178;3,15;2,53;0,27;3,451;6,9020;9,09;Jewelry;;;;;;;;;;;;;;;
90036A;FLOWER GARLAND NECKLACE RED;140;108;3,50;2,20;2,25;11,051;15,6615;11,91;Jewelry;;;;;;;;;;;;;;;
22677;FRENCH BLUE METAL DOOR SIGN 2;780;1200;0,01;0,03;0,02;0,048;0,0828;0,79;Office & school;;;;;;;;;;;;;;;
23424;GINGHAM RECIPE BOOK BOX;1050;729;4,64;3,83;2,32;11,977;18,2351;15,92;Home accessories;;;;;;;;;;;;;;;
90187B;GREEN DROP EARRINGS W BEAD CLUSTER;126;98;1,83;1,47;0,02;4,150;6,0756;5,39;Jewelry;;;;;;;;;;;;;;;
21263;GREEN GOOSE FEATHER TREE 60CM;441;387;0,90;0,72;0,34;1,463;2,5935;3,45;Decoration;;;;;;;;;;;;;;;
22693;GROW A FLYTRAP OR SUNFLOWER IN TIN;20874;16436;0,59;0,36;0,30;0,738;1,4625;2,47;Home accessories;;;;;;;;;;;;;;;
23194;GYMKHANNA TREASURE BOOK BOX;274;254;1,15;0,90;0,20;1,823;3,1275;3,88;Toys & edibles;;;;;;;;;;;;;;;
22633;HAND WARMER UNION JACK;3667;5023;1,04;0,81;0,01;1,499;2,5715;3,31;Home accessories;;;;;;;;;;;;;;;
23009;I LOVE LONDON BABY GIFT SET;505;377;7,46;5,39;4,10;11,187;21,0180;24,60;Toys & edibles;;;;;;;;;;;;;;;
47566B;incorrectly credited C550456 see 47;1285;1428;0,01;0,02;0,03;0,053;0,0882;0,79;Office & school;;;;;;;;;;;;;;;
20996;JAZZ HEARTS ADDRESS BOOK;1238;3259;0,01;0,05;0,13;0,200;0,3097;0,97;Office & school;;;;;;;;;;;;;;;
22231;JIGSAW TREE WITH BIRDHOUSE;1266;1101;1,68;1,37;0,24;3,685;5,5930;5,34;Decoration;;;;;;;;;;;;;;;
22663;JUMBO BAG DOLLY GIRL DESIGN;2534;3569;1,11;0,82;0,54;1,525;2,9520;4,17;Home accessories;;;;;;;;;;;;;;;
90214M;"LETTER ""M"" BLING KEY RING";408;321;0,45;0,29;0,09;1,228;1,7098;1,88;Toys & edibles;;;;;;;;;;;;;;;
21781;MA CAMPAGNE CUTLERY BOX;252;175;8,52;5,53;0,90;13,455;22,1260;21,78;Home accessories;;;;;;;;;;;;;;;
10125;MINI TAPES;1112;1356;0,39;0,26;0,19;1,241;1,7340;1,90;Office & school;;;;;;;;;;;;;;;
21331;MOROCCAN BEATEN METAL DISH LARGE;286;225;5,61;3,21;3,93;14,153;21,5475;18,68;Decoration;;;;;;;;;;;;;;;
37340;MULTICOLOUR SPRING FLOWER MUG;2789;2936;0,01;0,13;0,25;0,215;0,4407;1,25;Home accessories;;;;;;;;;;;;;;;
17014A;ORIGAMI VANILLA INCENSE CONES;304;274;0,01;0,17;0,24;0,340;0,5838;1,30;Home accessories;;;;;;;;;;;;;;;
23376;PACK OF 12 VINTAGE CHRISTMAS TISSUE;3306;3273;0,01;0,15;0,23;0,242;0,4680;1,25;Decoration;;;;;;;;;;;;;;;
22089;PAPER BUNTING VINTAGE PAISLEY;2238;1502;1,56;1,01;0,37;3,599;5,3100;4,86;Decoration;;;;;;;;;;;;;;;
21364;PEACE SMALL WOOD LETTERS;84;114;3,78;2,85;0,12;10,058;13,9725;10,22;Decoration;;;;;;;;;;;;;;;
22896;PEG BAG APPLE DESIGN;195;181;1,03;0,71;0,36;1,407;2,6250;3,67;Home accessories;;;;;;;;;;;;;;;
22502;PICNIC BASKET WICKER 60 PIECES;153;251;24,75;16,42;8,33;60,885;89,5950;70,50;Home accessories;;;;;;;;;;;;;;;
22637;PIGGY BANK RETROSPOT ;1428;2974;1,20;1,04;0,32;2,627;4,1055;4,30;Decoration;;;;;;;;;;;;;;;
90084;PINK CRYSTAL GUITAR PHONE CHARM;56;37;0,50;0,35;0,01;1,131;1,6235;1,90;Decoration;;;;;;;;;;;;;;;
90175B;PINK GLASS CHUNKY CHARM BRACELET;303;286;4,11;2,25;2,98;12,142;17,5592;13,87;Jewelry;;;;;;;;;;;;;;;
21486;PINK HEART DOTS HOT WATER BOTTLE;128;171;2,02;1,45;0,74;4,547;6,9886;6,64;Decoration;;;;;;;;;;;;;;;
82615;PINK MARSHMALLOW SCARF KNITTING KIT;507;340;1,05;0,79;0,71;3,723;5,2020;4,30;Home accessories;;;;;;;;;;;;;;;
20932;PINK POT PLANT CANDLE;604;395;1,48;1,02;0,45;2,567;4,2775;4,86;Home accessories;;;;;;;;;;;;;;;
84750A;PINK SMALL GLASS CAKE STAND;213;153;0,92;0,55;0,48;1,190;2,3205;3,45;Decoration;;;;;;;;;;;;;;;
46000R;POLYESTER FILLER PAD 45x30cm;160;117;0,87;0,58;0,01;1,218;2,0590;2,75;Office & school;;;;;;;;;;;;;;;
46000M;POLYESTER FILLER PAD 45x45cm;2496;1891;0,62;0,40;0,53;2,294;3,1930;2,89;Office & school;;;;;;;;;;;;;;;
16054;POPART RECT PENCIL SHARPENER ASST;2015;1317;0,01;0,03;0,08;0,174;0,2436;0,87;Office & school;;;;;;;;;;;;;;;
17038;PORCELAIN BUDAH INCENSE HOLDER;1674;1691;0,01;0,02;0,04;0,046;0,0868;0,80;Office & school;;;;;;;;;;;;;;;
84926F;PSYCHEDELIC TILE COASTER;555;566;0,25;0,17;0,01;0,294;0,5376;1,30;Home accessories;;;;;;;;;;;;;;;
90160B;RED BOUDICCA LARGE BRACELET;119;78;2,78;1,74;2,43;3,475;7,5060;10,50;Jewelry;;;;;;;;;;;;;;;
85135C;RED DRAGONFLY HELICOPTER;233;152;4,77;3,18;0,01;6,678;11,2890;11,91;Toys & edibles;;;;;;;;;;;;;;;
21488;RED WHITE SCARF  HOT WATER BOTTLE;101;109;5,08;3,39;0,01;10,926;15,8389;12,65;Home accessories;;;;;;;;;;;;;;;
23175;REGENCY MILK JUG PINK ;3538;3276;1,33;0,73;1,19;4,225;6,1100;5,29;Home accessories;;;;;;;;;;;;;;;
22081;RIBBON REEL FLORA + FAUNA ;961;728;0,92;0,73;0,01;2,376;3,3330;3,03;Home accessories;;;;;;;;;;;;;;;
21664;RIDGED GLASS STORAGE JAR CREAM LID;114;148;1,80;1,58;0,37;5,475;7,6500;5,99;Home accessories;;;;;;;;;;;;;;;
21115;ROSE CARAVAN DOORSTOP;494;705;4,05;2,70;0,01;3,375;7,2900;10,22;Office & school;;;;;;;;;;;;;;;
21272;SALLE DE BAIN HOOK;1119;761;0,65;0,45;0,15;1,400;2,1250;2,47;Home accessories;;;;;;;;;;;;;;;
21577;SAVE THE PLANET COTTON TOTE BAG;1443;1031;0,99;0,55;0,71;2,678;3,9825;3,88;Home accessories;;;;;;;;;;;;;;;
23613;SET 10 XMAS CARDS & BADGES 17070;203;180;1,47;1,00;0,02;2,540;3,9840;4,22;Office & school;;;;;;;;;;;;;;;
85197;SET OF 12 MINI BUNNIES IN A BUCKET;312;240;1,11;0,99;0,01;1,491;2,7090;3,67;Toys & edibles;;;;;;;;;;;;;;;
23240;SET OF 4 KNICK KNACK TINS DOILY ;2949;2478;1,95;1,16;1,04;2,781;5,1875;6,56;Decoration;;;;;;;;;;;;;;;
22641;SET OF 4 NAPKIN CHARMS INSTRUMENT;401;321;1,02;0,52;1,01;1,301;2,7795;4,30;Decoration;;;;;;;;;;;;;;;
22619;SET OF 6 SOLDIER SKITTLES;1020;2833;3,51;2,50;1,45;7,087;11,4138;11,22;Toys & edibles;;;;;;;;;;;;;;;
90018A;SILVER M.O.P ORBIT DROP EARRINGS;92;219;2,45;1,70;0,01;5,935;8,3415;6,56;Jewelry;;;;;;;;;;;;;;;
21476;STEEL SWEETHEART ROUND TABLE CREAM;257;181;8,67;6,28;0,01;17,492;26,1625;21,78;Decoration;;;;;;;;;;;;;;;
21232;STRAWBERRY CERAMIC TRINKET BOX;14279;10656;0,50;0,26;0,49;0,813;1,5375;2,47;Decoration;;;;;;;;;;;;;;;
90114;SUMMER DAISIES BAG CHARM;515;444;1,18;0,81;0,47;2,091;3,5178;4,17;Decoration;;;;;;;;;;;;;;;
22795;SWEETHEART RECIPE BOOK STAND;929;1223;7,04;5,65;0,59;14,220;21,9285;19,44;Decoration;;;;;;;;;;;;;;;
22794;SWEETHEART WIRE MAGAZINE RACK;191;465;9,00;5,84;0,95;14,527;23,6850;22,97;Decoration;;;;;;;;;;;;;;;
23242;TREASURE TIN BUFFALO BILL ;1427;1586;1,08;0,72;0,28;2,538;3,7440;3,64;Toys & edibles;;;;;;;;;;;;;;;
21628;TRIANGULAR POUFFE VINTAGE ;304;217;5,98;3,29;5,68;15,997;24,6675;21,78;Decoration;;;;;;;;;;;;;;;
21135;VICTORIAN  METAL POSTCARD SPRING;1040;2970;0,83;0,64;0,22;1,960;2,9406;3,09;Office & school;;;;;;;;;;;;;;;
21259;VICTORIAN SEWING BOX SMALL ;1894;1424;5,72;3,58;3,42;7,250;14,6280;18,64;Decoration;;;;;;;;;;;;;;;
21672;WHITE SPOT RED CERAMIC DRAWER KNOB;4708;5062;0,65;0,55;0,05;1,738;2,4625;2,47;Home accessories;;;;;;;;;;;;;;;
23323;WHITE WICKER STAR ;1188;1584;1,20;0,90;0,01;1,491;2,7090;3,67;Decoration;;;;;;;;;;;;;;;
21380;WOODEN HAPPY BIRTHDAY GARLAND;2468;2373;1,56;1,21;0,18;4,160;5,8705;4,86;Decoration;;;;;;;;;;;;;;;
20719;WOODLAND CHARLOTTE BAG;13231;13501;0,48;0,37;0,01;1,207;1,7000;1,90;Home accessories;;;;;;;;;;;;;;;
46776B;WOVEN BERRIES CUSHION COVER ;332;342;2,02;1,69;0,42;3,056;5,4516;6,53;Home accessories;;;;;;;;;;;;;;;
85135A;YELLOW DRAGONFLY HELICOPTER;179;271;3,18;1,95;2,82;5,406;10,0170;11,91;Toys & edibles;;;;;;;;;;;;;;;
84086B;YELLOW/BLUE RETRO RADIO;122;121;1,45;1,12;0,39;3,068;4,7790;4,86;Home accessories;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
